transaction_id,agency,amount,created_at
TXN000039,COURT_FINES,274.21,2026-08-25 01:56:00
TXN000041,KS_DMV,310.92,2026-08-25 10:30:00
TXN000042,NC_DMV,341.63,2026-08-06 01:50:00
TXN000043,KS_PARKS,142.67,2026-08-21 15:35:00
TXN000044,NC_DMV,16.41,2026-08-23 18:46:00
TXN000045,PROPERTY_TAX,346.45,2026-08-05 20:13:00
TXN000046,NC_DMV,393.68,2026-08-30 01:54:00
TXN000047,KS_PARKS,235.83,2026-08-07 22:56:00
TXN000048,KS_PARKS,177.65,2026-08-25 13:08:00
TXN000049,PROPERTY_TAX,429.77,2026-08-01 00:37:00
TXN000050,COURT_FINES,275.54,2026-08-01 21:16:00
TXN000051,NC_DMV,63.66,2026-08-14 23:53:00
TXN000052,KS_PARKS,119.16,2026-08-26 19:42:00
TXN000053,KS_DMV,426.92,2026-08-23 02:49:00
TXN000054,PROPERTY_TAX,369.97,2026-08-06 17:21:00
TXN000055,COURT_FINES,70.85,2026-08-26 00:31:00
TXN000056,PROPERTY_TAX,86.83,2026-08-28 14:33:00
TXN000057,KS_PARKS,199.07,2026-08-25 13:03:00
TXN000058,KS_PARKS,343.54,2026-08-15 04:28:00
TXN000059,NC_DMV,188.56,2026-08-20 22:31:00
TXN000060,COURT_FINES,406.33,2026-08-06 12:10:00
TXN000061,KS_DMV,122.84,2026-08-16 09:16:00
TXN000062,PROPERTY_TAX,24.15,2026-08-11 11:20:00
TXN000063,KS_DMV,270.97,2026-08-04 05:32:00
TXN000064,KS_DMV,322.91,2026-08-11 10:03:00
TXN000065,KS_DMV,44.32,2026-08-16 00:54:00
TXN000066,KS_PARKS,45.82,2026-08-13 16:10:00
TXN000067,KS_PARKS,306.01,2026-08-25 12:59:00
TXN000068,PROPERTY_TAX,72.56,2026-08-27 05:22:00
TXN000069,COURT_FINES,220.61,2026-08-19 12:37:00
TXN000070,KS_DMV,97.83,2026-08-30 23:47:00
TXN000071,COURT_FINES,202.51,2026-08-19 17:01:00
TXN000072,KS_DMV,218.16,2026-08-30 17:44:00
TXN000073,KS_DMV,443.11,2026-08-03 18:12:00
TXN000074,NC_DMV,190.14,2026-08-05 23:21:00
TXN000075,KS_PARKS,123.17,2026-08-25 09:46:00
TXN000076,COURT_FINES,210.15,2026-08-09 08:25:00
TXN000077,KS_PARKS,136.17,2026-08-04 10:20:00
TXN000078,PROPERTY_TAX,207.76,2026-08-05 10:56:00
TXN000079,PROPERTY_TAX,37.01,2026-08-01 16:07:00
TXN000080,KS_PARKS,436.51,2026-08-08 13:39:00
TXN000081,COURT_FINES,191.79,2026-08-10 17:28:00
TXN000082,KS_DMV,391.12,2026-08-08 11:49:00
TXN000083,COURT_FINES,179.85,2026-08-13 01:40:00
TXN000084,COURT_FINES,418.04,2026-08-13 23:34:00
TXN000085,PROPERTY_TAX,199.01,2026-08-23 03:34:00
TXN000086,NC_DMV,82.34,2026-08-10 21:47:00
TXN000087,PROPERTY_TAX,436.39,2026-08-25 16:13:00
TXN000088,NC_DMV,41.52,2026-08-03 14:26:00
TXN000089,COURT_FINES,36.81,2026-08-23 21:14:00
TXN000090,PROPERTY_TAX,414.93,2026-08-08 03:57:00
TXN000091,PROPERTY_TAX,39.74,2026-08-04 15:30:00
TXN000092,KS_DMV,385.33,2026-08-28 01:56:00
TXN000093,KS_PARKS,44.56,2026-08-19 09:01:00
TXN000094,PROPERTY_TAX,67.15,2026-08-12 04:55:00
TXN000095,KS_DMV,266.83,2026-08-29 04:31:00
TXN000096,PROPERTY_TAX,50.66,2026-08-26 17:22:00
TXN000097,NC_DMV,242.41,2026-08-10 07:06:00
TXN000098,NC_DMV,306.33,2026-08-11 20:42:00
TXN000099,KS_PARKS,130.54,2026-08-30 09:03:00
TXN000100,NC_DMV,145.5,2026-08-04 07:14:00
TXN000101,PROPERTY_TAX,19.05,2026-08-26 14:56:00
TXN000102,KS_DMV,448.3,2026-08-25 11:14:00
TXN000103,NC_DMV,107.72,2026-08-07 00:40:00
TXN000104,KS_DMV,420.97,2026-08-12 02:49:00
TXN000105,KS_PARKS,175.74,2026-08-20 22:36:00
TXN000106,NC_DMV,377.68,2026-08-28 20:06:00
TXN000107,PROPERTY_TAX,442.98,2026-08-01 08:32:00
TXN000108,PROPERTY_TAX,305.52,2026-08-14 15:00:00
TXN000109,KS_DMV,420.31,2026-08-07 02:40:00
TXN000110,KS_DMV,130.04,2026-08-26 04:16:00
TXN000111,NC_DMV,82.62,2026-08-28 12:38:00
TXN000112,NC_DMV,106.62,2026-08-10 06:22:00
TXN000113,NC_DMV,314.06,2026-08-24 00:02:00
TXN000114,KS_DMV,227.51,2026-08-05 04:48:00
TXN000115,NC_DMV,290.91,2026-08-03 00:09:00
TXN000116,KS_PARKS,16.54,2026-08-29 23:53:00
TXN000117,KS_PARKS,441.21,2026-08-21 02:36:00
TXN000118,COURT_FINES,254.98,2026-08-26 12:39:00
TXN000119,KS_DMV,19.21,2026-08-07 18:48:00
TXN000120,NC_DMV,252.33,2026-08-27 12:15:00
TXN000121,COURT_FINES,255.35,2026-08-06 19:12:00
TXN000122,NC_DMV,33.2,2026-08-02 19:34:00
TXN000123,KS_PARKS,406.03,2026-08-12 08:33:00
TXN000124,NC_DMV,305.12,2026-08-26 11:32:00
TXN000125,COURT_FINES,399.6,2026-08-29 05:55:00
TXN000126,KS_PARKS,341.02,2026-08-08 09:29:00
TXN000127,KS_PARKS,439.65,2026-08-19 18:20:00
TXN000128,NC_DMV,25.78,2026-08-19 17:42:00
TXN000129,KS_PARKS,363.97,2026-08-13 03:25:00
TXN000130,KS_DMV,84.25,2026-08-18 09:50:00
TXN000131,COURT_FINES,394.39,2026-08-11 02:57:00
TXN000132,COURT_FINES,101.81,2026-08-16 21:55:00
TXN000133,KS_PARKS,147.76,2026-08-11 03:29:00
TXN000134,KS_PARKS,25.29,2026-08-19 03:13:00
TXN000135,KS_DMV,157.79,2026-08-13 16:52:00
TXN000136,PROPERTY_TAX,167.75,2026-08-19 04:33:00
TXN000137,PROPERTY_TAX,310.59,2026-08-16 01:42:00
TXN000138,KS_DMV,423.57,2026-08-12 21:18:00
TXN000139,NC_DMV,92.68,2026-08-02 17:47:00
TXN000140,COURT_FINES,62.16,2026-08-16 17:34:00
TXN000141,NC_DMV,331.92,2026-08-20 20:39:00
TXN000142,PROPERTY_TAX,278.7,2026-08-06 06:18:00
TXN000143,PROPERTY_TAX,182.56,2026-08-09 15:37:00
TXN000144,COURT_FINES,125.8,2026-08-01 01:50:00
TXN000145,PROPERTY_TAX,241.17,2026-08-09 23:12:00
TXN000146,KS_DMV,173.44,2026-08-16 00:39:00
TXN000147,KS_DMV,286.07,2026-08-14 16:01:00
TXN000148,COURT_FINES,235.6,2026-08-15 20:16:00
TXN000149,NC_DMV,190.04,2026-08-26 05:33:00
TXN000150,COURT_FINES,70.37,2026-08-18 06:07:00
TXN000151,KS_PARKS,309.63,2026-08-29 00:18:00
TXN000152,COURT_FINES,262.56,2026-08-25 22:29:00
TXN000153,NC_DMV,377.67,2026-08-14 01:23:00
TXN000154,PROPERTY_TAX,106.43,2026-08-28 14:38:00
TXN000155,COURT_FINES,299.8,2026-08-21 02:32:00
TXN000156,KS_PARKS,207.34,2026-08-24 06:20:00
TXN000157,KS_PARKS,220.84,2026-08-30 23:38:00
TXN000158,PROPERTY_TAX,51.89,2026-08-29 19:20:00
TXN000159,KS_DMV,284.38,2026-08-11 16:32:00
TXN000160,KS_PARKS,307.67,2026-08-10 01:30:00
TXN000161,KS_DMV,79.1,2026-08-12 03:26:00
TXN000163,PROPERTY_TAX,213.11,2026-08-09 20:22:00
TXN000164,COURT_FINES,327.48,2026-08-23 11:59:00
TXN000165,KS_PARKS,188.85,2026-08-30 20:35:00
TXN000166,KS_DMV,314.12,2026-08-20 08:22:00
TXN000167,PROPERTY_TAX,110.2,2026-08-22 03:24:00
TXN000168,KS_PARKS,36.84,2026-08-06 12:33:00
TXN000169,COURT_FINES,213.56,2026-08-25 04:08:00
TXN000170,PROPERTY_TAX,444.73,2026-08-15 10:34:00
TXN000171,COURT_FINES,428.27,2026-08-28 21:10:00
TXN000172,PROPERTY_TAX,369.53,2026-08-20 10:06:00
TXN000173,PROPERTY_TAX,376.3,2026-08-21 07:03:00
TXN000174,COURT_FINES,405.29,2026-08-21 11:35:00
TXN000175,KS_PARKS,127.75,2026-08-30 00:29:00
TXN000176,PROPERTY_TAX,135.63,2026-08-23 01:18:00
TXN000177,NC_DMV,287.64,2026-08-21 00:27:00
TXN000178,NC_DMV,48.71,2026-08-11 16:07:00
TXN000179,NC_DMV,133.2,2026-08-25 13:59:00
TXN000180,KS_PARKS,50.05,2026-08-11 12:35:00
TXN000181,KS_PARKS,181.62,2026-08-10 17:41:00
TXN000182,COURT_FINES,42.94,2026-08-16 01:24:00
TXN000183,COURT_FINES,251.04,2026-08-03 20:00:00
TXN000184,COURT_FINES,104.97,2026-08-18 17:24:00
TXN000185,PROPERTY_TAX,408.6,2026-08-01 21:20:00
TXN000186,PROPERTY_TAX,387.68,2026-08-18 07:28:00
TXN000187,NC_DMV,222.49,2026-08-14 14:09:00
TXN000188,COURT_FINES,342.76,2026-08-25 11:52:00
TXN000189,PROPERTY_TAX,340.17,2026-08-28 10:54:00
TXN000190,COURT_FINES,405.55,2026-08-10 23:40:00
TXN000191,COURT_FINES,133.73,2026-08-02 07:42:00
TXN000192,COURT_FINES,184.15,2026-08-08 12:16:00
TXN000193,KS_PARKS,380.62,2026-08-29 07:40:00
TXN000194,COURT_FINES,247.34,2026-08-27 22:30:00
TXN000195,KS_DMV,260.51,2026-08-04 19:41:00
TXN000197,NC_DMV,94.05,2026-08-18 06:04:00
TXN000198,COURT_FINES,157.4,2026-08-15 21:00:00
TXN000199,COURT_FINES,161.81,2026-08-13 15:55:00
TXN000200,COURT_FINES,342.12,2026-08-12 11:32:00
TXN000201,COURT_FINES,378.19,2026-08-01 21:10:00
TXN000202,KS_DMV,340.83,2026-08-16 22:15:00
TXN000203,KS_DMV,112.54,2026-08-30 15:53:00
TXN000204,KS_DMV,32.51,2026-08-12 06:05:00
TXN000205,KS_DMV,101.72,2026-08-29 06:39:00
TXN000206,KS_PARKS,81.29,2026-08-22 13:15:00
TXN000207,PROPERTY_TAX,306.21,2026-08-10 22:04:00
TXN000208,NC_DMV,217.29,2026-08-17 18:55:00
TXN000209,PROPERTY_TAX,87.99,2026-08-06 05:06:00
TXN000210,KS_PARKS,353.34,2026-08-15 03:44:00
TXN000211,KS_DMV,62.02,2026-08-15 04:44:00
TXN000212,COURT_FINES,265.47,2026-08-19 01:15:00
TXN000213,KS_PARKS,424.54,2026-08-04 11:00:00
TXN000214,KS_PARKS,272.56,2026-08-05 15:18:00
TXN000215,NC_DMV,318.28,2026-08-28 07:48:00
TXN000216,PROPERTY_TAX,365.4,2026-08-02 20:51:00
TXN000217,COURT_FINES,166.03,2026-08-17 20:45:00
TXN000218,NC_DMV,45.0,2026-08-01 13:49:00
TXN000219,COURT_FINES,384.57,2026-08-05 19:16:00
TXN000220,NC_DMV,203.58,2026-08-29 22:13:00
TXN000221,COURT_FINES,402.84,2026-08-07 23:06:00
TXN000222,PROPERTY_TAX,204.44,2026-08-30 14:28:00
TXN000223,PROPERTY_TAX,132.49,2026-08-23 00:06:00
TXN000224,PROPERTY_TAX,217.22,2026-08-13 05:09:00
TXN000225,KS_PARKS,155.2,2026-08-04 22:39:00
TXN000226,COURT_FINES,136.33,2026-08-12 02:21:00
TXN000227,PROPERTY_TAX,341.46,2026-08-28 18:38:00
TXN000228,NC_DMV,305.66,2026-08-02 07:20:00
TXN000229,NC_DMV,230.02,2026-08-09 06:37:00
TXN000230,NC_DMV,227.08,2026-08-12 18:11:00
TXN000231,PROPERTY_TAX,163.05,2026-08-13 13:45:00
TXN000232,PROPERTY_TAX,256.77,2026-08-09 16:41:00
TXN000233,COURT_FINES,52.24,2026-08-23 05:39:00
TXN000234,KS_PARKS,256.5,2026-08-22 16:01:00
TXN000235,COURT_FINES,295.97,2026-08-21 09:31:00
TXN000236,KS_DMV,359.93,2026-08-14 09:23:00
TXN000237,KS_PARKS,111.39,2026-08-14 22:27:00
TXN000238,NC_DMV,303.82,2026-08-22 12:55:00
TXN000239,NC_DMV,255.76,2026-08-20 08:45:00
TXN000240,PROPERTY_TAX,448.53,2026-08-16 01:18:00
TXN000241,COURT_FINES,168.04,2026-08-13 07:54:00
TXN000242,KS_PARKS,148.38,2026-08-06 11:47:00
TXN000243,NC_DMV,328.76,2026-08-06 10:35:00
TXN000244,KS_PARKS,338.15,2026-08-09 17:12:00
TXN000245,COURT_FINES,109.13,2026-08-13 14:00:00
TXN000246,PROPERTY_TAX,330.19,2026-08-28 03:51:00
TXN000248,NC_DMV,143.87,2026-08-09 03:59:00
TXN000249,PROPERTY_TAX,146.49,2026-08-06 18:15:00
TXN000250,KS_DMV,134.33,2026-08-26 04:24:00
TXN000251,KS_PARKS,142.08,2026-08-30 00:43:00
TXN000252,COURT_FINES,392.78,2026-08-05 16:03:00
TXN000254,COURT_FINES,219.19,2026-08-16 12:08:00
TXN000255,KS_DMV,95.2,2026-08-12 11:46:00
TXN000256,COURT_FINES,424.36,2026-08-06 04:36:00
TXN000257,COURT_FINES,372.62,2026-08-23 09:07:00
TXN000258,KS_DMV,47.23,2026-08-07 21:43:00
TXN000259,PROPERTY_TAX,79.9,2026-08-14 19:52:00
TXN000260,KS_PARKS,52.05,2026-08-06 09:22:00
TXN000261,COURT_FINES,257.76,2026-08-28 14:15:00
TXN000262,PROPERTY_TAX,274.32,2026-08-11 06:30:00
TXN000263,COURT_FINES,352.43,2026-08-21 12:04:00
TXN000264,NC_DMV,410.2,2026-08-27 18:49:00
TXN000265,NC_DMV,445.66,2026-08-26 21:05:00
TXN000266,PROPERTY_TAX,285.15,2026-08-05 12:23:00
TXN000268,KS_DMV,106.8,2026-08-08 03:32:00
TXN000269,PROPERTY_TAX,119.34,2026-08-04 09:59:00
TXN000270,COURT_FINES,83.09,2026-08-21 12:04:00
TXN000271,COURT_FINES,314.88,2026-08-14 06:07:00
TXN000272,NC_DMV,29.2,2026-08-13 20:48:00
TXN000273,COURT_FINES,320.8,2026-08-04 05:44:00
TXN000275,KS_PARKS,271.56,2026-08-20 08:21:00
TXN000276,KS_PARKS,64.93,2026-08-30 11:23:00
TXN000277,NC_DMV,79.81,2026-08-07 11:21:00
TXN000278,KS_PARKS,46.06,2026-08-14 23:59:00
TXN000279,PROPERTY_TAX,273.84,2026-08-14 03:14:00
TXN000280,COURT_FINES,206.03,2026-08-14 20:08:00
TXN000281,NC_DMV,319.38,2026-08-23 18:38:00
TXN000282,COURT_FINES,249.89,2026-08-04 15:51:00
TXN000283,COURT_FINES,275.15,2026-08-15 16:03:00
TXN000284,KS_DMV,277.62,2026-08-05 03:45:00
TXN000285,PROPERTY_TAX,114.58,2026-08-27 17:17:00
TXN000286,NC_DMV,428.59,2026-08-27 05:24:00
TXN000287,KS_PARKS,32.5,2026-08-22 09:54:00
TXN000288,COURT_FINES,240.75,2026-08-13 15:49:00
TXN000289,PROPERTY_TAX,93.95,2026-08-20 20:06:00
TXN000290,COURT_FINES,291.13,2026-08-05 03:39:00
TXN000291,COURT_FINES,219.45,2026-08-16 04:03:00
TXN000292,KS_DMV,154.66,2026-08-08 07:39:00
TXN000293,COURT_FINES,158.46,2026-08-14 02:48:00
TXN000294,COURT_FINES,303.22,2026-08-26 00:51:00
TXN000295,KS_DMV,30.96,2026-08-15 07:32:00
TXN000296,KS_DMV,124.79,2026-08-19 09:28:00
TXN000297,KS_DMV,391.24,2026-08-30 22:20:00
TXN000298,COURT_FINES,393.17,2026-08-19 19:22:00
TXN000299,PROPERTY_TAX,38.58,2026-08-17 11:09:00
TXN000300,COURT_FINES,285.85,2026-08-29 11:06:00
TXN000301,KS_DMV,207.29,2026-08-10 06:20:00
TXN000302,KS_PARKS,131.17,2026-08-14 02:36:00
TXN000303,COURT_FINES,205.58,2026-08-06 12:37:00
TXN000304,PROPERTY_TAX,27.56,2026-08-11 21:22:00
TXN000305,NC_DMV,323.76,2026-08-26 01:39:00
TXN000306,COURT_FINES,20.95,2026-08-05 05:48:00
TXN000307,KS_DMV,112.74,2026-08-22 00:01:00
TXN000308,KS_PARKS,426.97,2026-08-23 16:21:00
TXN000309,NC_DMV,420.7,2026-08-24 03:49:00
TXN000310,COURT_FINES,321.85,2026-08-22 23:01:00
TXN000311,KS_PARKS,441.41,2026-08-21 18:55:00
TXN000312,COURT_FINES,254.8,2026-08-09 16:11:00
TXN000313,PROPERTY_TAX,416.01,2026-08-07 05:06:00
TXN000314,NC_DMV,390.85,2026-08-19 21:13:00
TXN000315,PROPERTY_TAX,162.85,2026-08-13 03:49:00
TXN000316,NC_DMV,371.94,2026-08-14 14:06:00
TXN000317,PROPERTY_TAX,379.3,2026-08-23 06:49:00
TXN000318,COURT_FINES,391.39,2026-08-25 12:16:00
TXN000319,NC_DMV,225.69,2026-08-26 02:50:00
TXN000320,COURT_FINES,346.85,2026-08-21 17:21:00
TXN000321,KS_PARKS,420.79,2026-08-11 20:50:00
TXN000322,KS_PARKS,263.73,2026-08-19 16:40:00
TXN000323,COURT_FINES,33.99,2026-08-18 08:24:00
TXN000324,KS_PARKS,182.94,2026-08-23 13:01:00
TXN000325,KS_PARKS,434.7,2026-08-23 20:38:00
TXN000326,NC_DMV,434.93,2026-08-05 13:37:00
TXN000327,COURT_FINES,395.27,2026-08-05 12:54:00
TXN000328,COURT_FINES,243.79,2026-08-01 16:45:00
TXN000329,COURT_FINES,329.26,2026-08-30 19:11:00
TXN000330,KS_DMV,436.93,2026-08-22 08:48:00
TXN000331,NC_DMV,354.96,2026-08-16 09:47:00
TXN000332,COURT_FINES,286.12,2026-08-30 13:47:00
TXN000333,NC_DMV,49.94,2026-08-25 06:51:00
TXN000334,NC_DMV,180.3,2026-08-29 12:37:00
TXN000335,COURT_FINES,327.64,2026-08-25 14:56:00
TXN000336,KS_DMV,30.62,2026-08-11 16:25:00
TXN000337,NC_DMV,289.56,2026-08-11 08:28:00
TXN000338,COURT_FINES,339.84,2026-08-05 11:31:00
TXN000339,KS_DMV,345.76,2026-08-21 04:36:00
TXN000340,NC_DMV,87.37,2026-08-02 07:37:00
TXN000341,KS_DMV,35.01,2026-08-14 08:26:00
TXN000343,COURT_FINES,121.23,2026-08-26 18:08:00
TXN000344,KS_PARKS,311.58,2026-08-08 17:40:00
TXN000345,PROPERTY_TAX,91.16,2026-08-18 09:50:00
TXN000346,KS_PARKS,284.57,2026-08-23 15:35:00
TXN000347,KS_PARKS,412.08,2026-08-11 13:36:00
TXN000348,NC_DMV,215.6,2026-08-21 21:58:00
TXN000349,KS_DMV,126.07,2026-08-22 04:10:00
TXN000350,PROPERTY_TAX,407.03,2026-08-08 04:33:00
TXN000351,NC_DMV,47.13,2026-08-27 17:47:00
TXN000352,COURT_FINES,145.13,2026-08-12 09:10:00
TXN000353,NC_DMV,213.72,2026-08-10 01:35:00
TXN000354,COURT_FINES,449.73,2026-08-05 20:29:00
TXN000355,PROPERTY_TAX,118.18,2026-08-17 08:04:00
TXN000356,NC_DMV,265.04,2026-08-01 23:57:00
TXN000357,COURT_FINES,440.41,2026-08-13 11:48:00
TXN000358,KS_DMV,18.52,2026-08-28 14:21:00
TXN000359,NC_DMV,339.15,2026-08-11 11:21:00
TXN000361,PROPERTY_TAX,291.93,2026-08-12 09:45:00
TXN000362,KS_PARKS,309.83,2026-08-29 14:12:00
TXN000363,KS_DMV,57.27,2026-08-15 01:26:00
TXN000364,KS_DMV,358.05,2026-08-27 09:02:00
TXN000365,KS_PARKS,173.71,2026-08-05 02:26:00
TXN000366,NC_DMV,410.69,2026-08-19 21:50:00
TXN000367,KS_PARKS,91.4,2026-08-25 13:10:00
TXN000368,NC_DMV,396.26,2026-08-25 03:49:00
TXN000369,NC_DMV,233.28,2026-08-08 11:43:00
TXN000370,COURT_FINES,126.78,2026-08-14 10:22:00
TXN000371,NC_DMV,339.75,2026-08-06 05:47:00
TXN000372,KS_DMV,218.72,2026-08-07 09:44:00
TXN000373,KS_PARKS,343.06,2026-08-19 02:04:00
TXN000374,PROPERTY_TAX,435.76,2026-08-17 15:31:00
TXN000375,COURT_FINES,54.28,2026-08-01 15:12:00
TXN000376,KS_DMV,130.04,2026-08-21 16:44:00
TXN000377,NC_DMV,175.33,2026-08-27 14:29:00
TXN000378,NC_DMV,180.75,2026-08-05 22:20:00
TXN000379,COURT_FINES,308.55,2026-08-02 03:20:00
TXN000380,PROPERTY_TAX,284.5,2026-08-15 22:16:00
TXN000381,KS_PARKS,413.14,2026-08-30 11:24:00
TXN000382,COURT_FINES,42.5,2026-08-14 18:04:00
TXN000383,KS_DMV,297.42,2026-08-07 08:40:00
TXN000384,KS_DMV,34.73,2026-08-14 20:26:00
TXN000385,KS_DMV,448.23,2026-08-05 10:09:00
TXN000386,PROPERTY_TAX,117.14,2026-08-07 04:10:00
TXN000387,NC_DMV,184.06,2026-08-25 14:02:00
TXN000388,KS_PARKS,197.32,2026-08-19 21:09:00
TXN000389,COURT_FINES,299.89,2026-08-29 00:27:00
TXN000390,NC_DMV,192.53,2026-08-02 11:44:00
TXN000391,KS_PARKS,315.27,2026-08-21 04:17:00
TXN000392,KS_PARKS,208.44,2026-08-17 12:08:00
TXN000393,NC_DMV,58.22,2026-08-25 18:42:00
TXN000394,NC_DMV,407.24,2026-08-03 18:08:00
TXN000396,COURT_FINES,427.82,2026-08-05 04:07:00
TXN000397,PROPERTY_TAX,303.3,2026-08-01 23:19:00
TXN000398,NC_DMV,37.0,2026-08-12 02:02:00
TXN000399,PROPERTY_TAX,445.14,2026-08-10 08:08:00
TXN000400,PROPERTY_TAX,44.85,2026-08-10 10:16:00
TXN000401,KS_PARKS,270.08,2026-08-15 22:52:00
TXN000402,PROPERTY_TAX,351.85,2026-08-01 03:05:00
TXN000403,KS_PARKS,135.61,2026-08-06 21:59:00
TXN000404,KS_PARKS,249.99,2026-08-06 00:04:00
TXN000405,KS_DMV,302.56,2026-08-06 23:57:00
TXN000406,KS_PARKS,21.46,2026-08-27 19:11:00
TXN000407,KS_PARKS,155.84,2026-08-13 01:51:00
TXN000408,COURT_FINES,37.79,2026-08-24 22:37:00
TXN000409,KS_DMV,64.44,2026-08-22 16:11:00
TXN000410,NC_DMV,210.0,2026-08-24 08:35:00
TXN000411,COURT_FINES,273.24,2026-08-23 22:19:00
TXN000412,PROPERTY_TAX,111.37,2026-08-02 23:21:00
TXN000413,PROPERTY_TAX,331.35,2026-08-14 17:27:00
TXN000414,KS_DMV,214.25,2026-08-03 18:26:00
TXN000415,COURT_FINES,449.39,2026-08-20 09:36:00
TXN000416,COURT_FINES,313.45,2026-08-21 04:29:00
TXN000417,KS_DMV,46.97,2026-08-15 15:49:00
TXN000418,KS_DMV,279.61,2026-08-06 17:50:00
TXN000419,PROPERTY_TAX,134.63,2026-08-25 22:57:00
TXN000420,COURT_FINES,324.79,2026-08-28 04:30:00
TXN000421,COURT_FINES,245.79,2026-08-24 00:11:00
TXN000422,KS_DMV,278.36,2026-08-06 04:58:00
TXN000423,PROPERTY_TAX,385.96,2026-08-10 18:51:00
TXN000424,KS_PARKS,202.08,2026-08-19 19:59:00
TXN000425,COURT_FINES,162.44,2026-08-19 03:31:00
TXN000426,KS_DMV,195.96,2026-08-15 05:23:00
TXN000427,NC_DMV,200.64,2026-08-18 00:50:00
TXN000428,COURT_FINES,429.81,2026-08-04 01:19:00
TXN000429,KS_DMV,54.68,2026-08-05 05:49:00
TXN000431,PROPERTY_TAX,257.02,2026-08-26 13:24:00
TXN000432,KS_DMV,259.33,2026-08-19 16:42:00
TXN000433,COURT_FINES,168.82,2026-08-03 08:11:00
TXN000434,PROPERTY_TAX,436.25,2026-08-15 05:16:00
TXN000435,PROPERTY_TAX,167.97,2026-08-24 02:13:00
TXN000436,COURT_FINES,107.54,2026-08-11 04:56:00
TXN000437,NC_DMV,383.56,2026-08-26 07:35:00
TXN000438,NC_DMV,174.89,2026-08-27 03:04:00
TXN000439,COURT_FINES,113.38,2026-08-26 12:43:00
TXN000440,PROPERTY_TAX,438.93,2026-08-28 22:11:00
TXN000441,PROPERTY_TAX,308.61,2026-08-02 04:40:00
TXN000442,NC_DMV,279.91,2026-08-02 07:37:00
TXN000443,NC_DMV,93.48,2026-08-16 11:10:00
TXN000444,KS_PARKS,167.7,2026-08-07 12:28:00
TXN000445,COURT_FINES,261.35,2026-08-04 04:00:00
TXN000446,KS_DMV,76.72,2026-08-05 04:13:00
TXN000447,KS_PARKS,339.56,2026-08-18 02:54:00
TXN000448,NC_DMV,197.63,2026-08-08 03:55:00
TXN000449,NC_DMV,175.97,2026-08-26 19:57:00
TXN000450,KS_DMV,274.36,2026-08-08 01:56:00
TXN000451,PROPERTY_TAX,83.47,2026-08-03 06:21:00
TXN000452,NC_DMV,308.18,2026-08-21 03:59:00
TXN000453,COURT_FINES,302.94,2026-08-28 15:05:00
TXN000454,NC_DMV,207.29,2026-08-10 19:27:00
TXN000455,KS_DMV,343.4,2026-08-16 17:01:00
TXN000457,NC_DMV,226.69,2026-08-03 01:36:00
TXN000458,PROPERTY_TAX,110.93,2026-08-03 11:50:00
TXN000459,NC_DMV,18.34,2026-08-10 14:43:00
