settlement_id,transaction_id,settled_amount,settled_at
SET000106,TXN000106,377.68,2026-08-28 20:06:00
SET000108,TXN000108,305.52,2026-08-14 15:00:00
SET000109,TXN000109,420.31,2026-08-07 02:40:00
SET000110,TXN000110,130.04,2026-08-26 04:16:00
SET000111,TXN000111,82.62,2026-08-28 12:38:00
SET000112,TXN000112,106.62,2026-08-10 06:22:00
SET000114,TXN000114,227.51,2026-08-05 04:48:00
SET000115,TXN000115,290.91,2026-08-03 00:09:00
SET000116,TXN000116,16.54,2026-08-29 23:53:00
SET000117,TXN000117,428.64,2026-08-21 02:36:00
SET000118,TXN000118,254.98,2026-08-26 12:39:00
SET000119,TXN000119,19.21,2026-08-07 18:48:00
SET000120,TXN000120,252.33,2026-08-27 12:15:00
SET000121,TXN000121,255.35,2026-08-06 19:12:00
SET000122,TXN000122,33.2,2026-08-02 19:34:00
SET000123,TXN000123,406.03,2026-08-12 08:33:00
SET000124,TXN000124,305.12,2026-08-26 11:32:00
SET000125,TXN000125,399.6,2026-08-29 05:55:00
SET000126,TXN000126,341.02,2026-08-08 09:29:00
SET000127,TXN000127,439.65,2026-08-19 18:20:00
SET000128,TXN000128,25.78,2026-08-19 17:42:00
SET000129,TXN000129,363.97,2026-08-13 03:25:00
SET000130,TXN000130,84.25,2026-08-18 09:50:00
SET000131,TXN000131,394.39,2026-08-11 02:57:00
SET000132,TXN000132,101.81,2026-08-16 21:55:00
SET000133,TXN000133,147.76,2026-08-11 03:29:00
SET000134,TXN000134,25.29,2026-08-19 03:13:00
SET000135,TXN000135,157.79,2026-08-13 16:52:00
SET000136,TXN000136,167.75,2026-08-19 04:33:00
SET000137,TXN000137,310.59,2026-08-16 01:42:00
SET000138,TXN000138,423.57,2026-08-12 21:18:00
SET000139,TXN000139,92.68,2026-08-02 17:47:00
SET000140,TXN000140,50.82,2026-08-16 17:34:00
SET000141,TXN000141,331.92,2026-08-20 20:39:00
SET000142,TXN000142,278.7,2026-08-06 06:18:00
SET000143,TXN000143,182.56,2026-08-09 15:37:00
SET000145,TXN000145,241.17,2026-08-09 23:12:00
SET000146,TXN000146,173.44,2026-08-16 00:39:00
SET000147,TXN000147,286.07,2026-08-14 16:01:00
SET000148,TXN000148,235.6,2026-08-15 20:16:00
SET000149,TXN000149,190.04,2026-08-26 05:33:00
SET000150,TXN000150,70.37,2026-08-18 06:07:00
SET000151,TXN000151,309.63,2026-08-29 00:18:00
SET000152,TXN000152,262.56,2026-08-25 22:29:00
SET000153,TXN000153,377.67,2026-08-14 01:23:00
SET000154,TXN000154,106.43,2026-08-28 14:38:00
SET000155,TXN000155,299.8,2026-08-21 02:32:00
SET000156,TXN000156,207.34,2026-08-24 06:20:00
SET000157,TXN000157,220.84,2026-08-30 23:38:00
SET000158,TXN000158,51.89,2026-08-29 19:20:00
SET000159,TXN000159,284.38,2026-08-11 16:32:00
SET000160,TXN000160,307.67,2026-08-10 01:30:00
SET000161,TXN000161,79.1,2026-08-12 03:26:00
SET000162,TXN000162,443.01,2026-08-04 07:32:00
SET000163,TXN000163,213.11,2026-08-09 20:22:00
SET000164,TXN000164,327.48,2026-08-23 11:59:00
SET000165,TXN000165,188.85,2026-08-30 20:35:00
SET000166,TXN000166,314.12,2026-08-20 08:22:00
SET000167,TXN000167,108.5,2026-08-22 03:24:00
SET000168,TXN000168,36.84,2026-08-06 12:33:00
SET000169,TXN000169,213.56,2026-08-25 04:08:00
SET000171,TXN000171,428.27,2026-08-28 21:10:00
SET000172,TXN000172,369.53,2026-08-20 10:06:00
SET000173,TXN000173,376.3,2026-08-21 07:03:00
SET000174,TXN000174,405.29,2026-08-21 11:35:00
SET000175,TXN000175,127.75,2026-08-30 00:29:00
SET000176,TXN000176,135.63,2026-08-23 01:18:00
SET000177,TXN000177,287.64,2026-08-21 00:27:00
SET000178,TXN000178,48.71,2026-08-11 16:07:00
SET000180,TXN000180,50.05,2026-08-11 12:35:00
SET000181,TXN000181,181.62,2026-08-10 17:41:00
SET000182,TXN000182,42.94,2026-08-16 01:24:00
SET000183,TXN000183,251.04,2026-08-03 20:00:00
SET000184,TXN000184,104.97,2026-08-18 17:24:00
SET000185,TXN000185,408.6,2026-08-01 21:20:00
SET000186,TXN000186,387.68,2026-08-18 07:28:00
SET000187,TXN000187,215.05,2026-08-14 14:09:00
SET000188,TXN000188,342.76,2026-08-25 11:52:00
SET000189,TXN000189,340.17,2026-08-28 10:54:00
SET000190,TXN000190,405.55,2026-08-10 23:40:00
SET000191,TXN000191,133.73,2026-08-02 07:42:00
SET000192,TXN000192,184.15,2026-08-08 12:16:00
SET000193,TXN000193,380.62,2026-08-29 07:40:00
SET000194,TXN000194,247.34,2026-08-27 22:30:00
SET000195,TXN000195,260.51,2026-08-04 19:41:00
SET000196,TXN000196,294.6,2026-08-22 00:17:00
SET000197,TXN000197,94.05,2026-08-18 06:04:00
SET000198,TXN000198,157.4,2026-08-15 21:00:00
SET000199,TXN000199,161.81,2026-08-13 15:55:00
SET000200,TXN000200,342.12,2026-08-12 11:32:00
SET000201,TXN000201,378.19,2026-08-01 21:10:00
SET000202,TXN000202,340.83,2026-08-16 22:15:00
SET000203,TXN000203,112.54,2026-08-30 15:53:00
SET000204,TXN000204,32.51,2026-08-12 06:05:00
SET000205,TXN000205,101.72,2026-08-29 06:39:00
SET000206,TXN000206,81.29,2026-08-22 13:15:00
SET000207,TXN000207,306.21,2026-08-10 22:04:00
SET000209,TXN000209,87.99,2026-08-06 05:06:00
SET000210,TXN000210,353.34,2026-08-15 03:44:00
SET000211,TXN000211,62.02,2026-08-15 04:44:00
SET000212,TXN000212,265.47,2026-08-19 01:15:00
SET000213,TXN000213,424.54,2026-08-04 11:00:00
SET000214,TXN000214,272.56,2026-08-05 15:18:00
SET000215,TXN000215,318.28,2026-08-28 07:48:00
SET000216,TXN000216,365.4,2026-08-02 20:51:00
SET000217,TXN000217,166.03,2026-08-17 20:45:00
SET000218,TXN000218,45.0,2026-08-01 13:49:00
SET000219,TXN000219,384.57,2026-08-05 19:16:00
SET000220,TXN000220,203.58,2026-08-29 22:13:00
SET000221,TXN000221,402.84,2026-08-07 23:06:00
SET000222,TXN000222,204.44,2026-08-30 14:28:00
SET000223,TXN000223,132.49,2026-08-23 00:06:00
SET000224,TXN000224,217.22,2026-08-13 05:09:00
SET000225,TXN000225,155.2,2026-08-04 22:39:00
SET000226,TXN000226,136.33,2026-08-12 02:21:00
SET000227,TXN000227,339.84,2026-08-28 18:38:00
SET000228,TXN000228,305.66,2026-08-02 07:20:00
SET000229,TXN000229,230.02,2026-08-09 06:37:00
SET000230,TXN000230,227.08,2026-08-12 18:11:00
SET000231,TXN000231,163.05,2026-08-13 13:45:00
SET000232,TXN000232,256.77,2026-08-09 16:41:00
SET000233,TXN000233,52.24,2026-08-23 05:39:00
SET000234,TXN000234,256.5,2026-08-22 16:01:00
SET000235,TXN000235,295.97,2026-08-21 09:31:00
SET000236,TXN000236,359.93,2026-08-14 09:23:00
SET000237,TXN000237,109.9,2026-08-14 22:27:00
SET000238,TXN000238,303.82,2026-08-22 12:55:00
SET000239,TXN000239,255.76,2026-08-20 08:45:00
SET000241,TXN000241,168.04,2026-08-13 07:54:00
SET000242,TXN000242,148.38,2026-08-06 11:47:00
SET000243,TXN000243,328.76,2026-08-06 10:35:00
SET000244,TXN000244,338.15,2026-08-09 17:12:00
SET000245,TXN000245,109.13,2026-08-13 14:00:00
SET000246,TXN000246,330.19,2026-08-28 03:51:00
SET000247,TXN000247,138.1,2026-08-09 20:01:00
SET000248,TXN000248,143.87,2026-08-09 03:59:00
SET000249,TXN000249,146.49,2026-08-06 18:15:00
SET000250,TXN000250,134.33,2026-08-26 04:24:00
SET000251,TXN000251,142.08,2026-08-30 00:43:00
SET000252,TXN000252,392.78,2026-08-05 16:03:00
SET000253,TXN000253,394.63,2026-08-13 22:34:00
SET000254,TXN000254,219.19,2026-08-16 12:08:00
SET000255,TXN000255,75.46,2026-08-12 11:46:00
SET000256,TXN000256,424.36,2026-08-06 04:36:00
SET000257,TXN000257,372.62,2026-08-23 09:07:00
SET000258,TXN000258,47.23,2026-08-07 21:43:00
SET000259,TXN000259,79.9,2026-08-14 19:52:00
SET000260,TXN000260,52.05,2026-08-06 09:22:00
SET000261,TXN000261,257.76,2026-08-28 14:15:00
SET000262,TXN000262,274.32,2026-08-11 06:30:00
SET000263,TXN000263,352.43,2026-08-21 12:04:00
SET000264,TXN000264,410.2,2026-08-27 18:49:00
SET000265,TXN000265,445.66,2026-08-26 21:05:00
SET000266,TXN000266,285.15,2026-08-05 12:23:00
SET000267,TXN000267,427.2,2026-08-29 11:13:00
SET000268,TXN000268,106.8,2026-08-08 03:32:00
SET000269,TXN000269,119.34,2026-08-04 09:59:00
SET000270,TXN000270,83.09,2026-08-21 12:04:00
SET000271,TXN000271,314.88,2026-08-14 06:07:00
SET000272,TXN000272,29.2,2026-08-13 20:48:00
SET000273,TXN000273,320.8,2026-08-04 05:44:00
SET000274,TXN000274,314.01,2026-08-29 10:43:00
SET000275,TXN000275,271.56,2026-08-20 08:21:00
SET000277,TXN000277,79.81,2026-08-07 11:21:00
SET000278,TXN000278,46.06,2026-08-14 23:59:00
SET000279,TXN000279,273.84,2026-08-14 03:14:00
SET000280,TXN000280,206.03,2026-08-14 20:08:00
SET000281,TXN000281,319.38,2026-08-23 18:38:00
SET000282,TXN000282,249.89,2026-08-04 15:51:00
SET000283,TXN000283,275.15,2026-08-15 16:03:00
SET000284,TXN000284,277.62,2026-08-05 03:45:00
SET000285,TXN000285,114.58,2026-08-27 17:17:00
SET000286,TXN000286,428.59,2026-08-27 05:24:00
SET000287,TXN000287,32.5,2026-08-22 09:54:00
SET000288,TXN000288,240.75,2026-08-13 15:49:00
SET000289,TXN000289,93.95,2026-08-20 20:06:00
SET000290,TXN000290,291.13,2026-08-05 03:39:00
SET000291,TXN000291,219.45,2026-08-16 04:03:00
SET000292,TXN000292,154.66,2026-08-08 07:39:00
SET000293,TXN000293,158.46,2026-08-14 02:48:00
SET000294,TXN000294,303.22,2026-08-26 00:51:00
SET000295,TXN000295,30.96,2026-08-15 07:32:00
SET000297,TXN000297,391.24,2026-08-30 22:20:00
SET000298,TXN000298,393.17,2026-08-19 19:22:00
SET000299,TXN000299,38.58,2026-08-17 11:09:00
SET000300,TXN000300,285.85,2026-08-29 11:06:00
SET000301,TXN000301,202.01,2026-08-10 06:20:00
SET000302,TXN000302,120.31,2026-08-14 02:36:00
SET000303,TXN000303,205.58,2026-08-06 12:37:00
SET000304,TXN000304,27.56,2026-08-11 21:22:00
SET000305,TXN000305,323.76,2026-08-26 01:39:00
SET000306,TXN000306,14.74,2026-08-05 05:48:00
SET000307,TXN000307,112.74,2026-08-22 00:01:00
SET000308,TXN000308,426.97,2026-08-23 16:21:00
SET000309,TXN000309,420.7,2026-08-24 03:49:00
SET000310,TXN000310,321.85,2026-08-22 23:01:00
SET000311,TXN000311,441.41,2026-08-21 18:55:00
SET000312,TXN000312,254.8,2026-08-09 16:11:00
SET000313,TXN000313,416.01,2026-08-07 05:06:00
SET000314,TXN000314,390.85,2026-08-19 21:13:00
SET000316,TXN000316,371.94,2026-08-14 14:06:00
SET000317,TXN000317,377.52,2026-08-23 06:49:00
SET000319,TXN000319,225.69,2026-08-26 02:50:00
SET000320,TXN000320,331.2,2026-08-21 17:21:00
SET000321,TXN000321,420.79,2026-08-11 20:50:00
SET000322,TXN000322,263.73,2026-08-19 16:40:00
SET000323,TXN000323,33.99,2026-08-18 08:24:00
SET000324,TXN000324,182.94,2026-08-23 13:01:00
SET000325,TXN000325,434.7,2026-08-23 20:38:00
SET000327,TXN000327,395.27,2026-08-05 12:54:00
SET000328,TXN000328,243.79,2026-08-01 16:45:00
SET000329,TXN000329,329.26,2026-08-30 19:11:00
SET000330,TXN000330,436.93,2026-08-22 08:48:00
SET000331,TXN000331,354.96,2026-08-16 09:47:00
SET000332,TXN000332,286.12,2026-08-30 13:47:00
SET000333,TXN000333,49.94,2026-08-25 06:51:00
SET000334,TXN000334,180.3,2026-08-29 12:37:00
SET000335,TXN000335,327.64,2026-08-25 14:56:00
SET000336,TXN000336,30.62,2026-08-11 16:25:00
SET000337,TXN000337,289.56,2026-08-11 08:28:00
SET000338,TXN000338,339.84,2026-08-05 11:31:00
SET000339,TXN000339,345.76,2026-08-21 04:36:00
SET000341,TXN000341,35.01,2026-08-14 08:26:00
SET000342,TXN000342,170.93,2026-08-07 15:00:00
SET000343,TXN000343,121.23,2026-08-26 18:08:00
SET000344,TXN000344,311.58,2026-08-08 17:40:00
SET000345,TXN000345,91.16,2026-08-18 09:50:00
SET000346,TXN000346,284.57,2026-08-23 15:35:00
SET000347,TXN000347,412.08,2026-08-11 13:36:00
SET000348,TXN000348,215.6,2026-08-21 21:58:00
SET000349,TXN000349,126.07,2026-08-22 04:10:00
SET000350,TXN000350,407.03,2026-08-08 04:33:00
SET000351,TXN000351,47.13,2026-08-27 17:47:00
SET000352,TXN000352,145.13,2026-08-12 09:10:00
SET000353,TXN000353,196.3,2026-08-10 01:35:00
SET000354,TXN000354,449.73,2026-08-05 20:29:00
SET000355,TXN000355,100.04,2026-08-17 08:04:00
SET000356,TXN000356,265.04,2026-08-01 23:57:00
SET000357,TXN000357,425.71,2026-08-13 11:48:00
SET000358,TXN000358,18.52,2026-08-28 14:21:00
SET000359,TXN000359,339.15,2026-08-11 11:21:00
SET000360,TXN000360,279.07,2026-08-10 23:12:00
SET000361,TXN000361,291.93,2026-08-12 09:45:00
SET000363,TXN000363,57.27,2026-08-15 01:26:00
SET000364,TXN000364,358.05,2026-08-27 09:02:00
SET000365,TXN000365,173.71,2026-08-05 02:26:00
SET000366,TXN000366,410.69,2026-08-19 21:50:00
SET000367,TXN000367,91.4,2026-08-25 13:10:00
SET000368,TXN000368,396.26,2026-08-25 03:49:00
SET000369,TXN000369,233.28,2026-08-08 11:43:00
SET000370,TXN000370,126.78,2026-08-14 10:22:00
SET000371,TXN000371,339.75,2026-08-06 05:47:00
SET000372,TXN000372,218.72,2026-08-07 09:44:00
SET000373,TXN000373,343.06,2026-08-19 02:04:00
SET000374,TXN000374,435.76,2026-08-17 15:31:00
SET000375,TXN000375,54.28,2026-08-01 15:12:00
SET000376,TXN000376,130.04,2026-08-21 16:44:00
SET000377,TXN000377,175.33,2026-08-27 14:29:00
SET000378,TXN000378,180.75,2026-08-05 22:20:00
SET000379,TXN000379,308.55,2026-08-02 03:20:00
SET000380,TXN000380,284.5,2026-08-15 22:16:00
SET000381,TXN000381,413.14,2026-08-30 11:24:00
SET000382,TXN000382,42.5,2026-08-14 18:04:00
SET000383,TXN000383,297.42,2026-08-07 08:40:00
SET000384,TXN000384,34.73,2026-08-14 20:26:00
SET000385,TXN000385,448.23,2026-08-05 10:09:00
SET000386,TXN000386,117.14,2026-08-07 04:10:00
SET000387,TXN000387,184.06,2026-08-25 14:02:00
SET000388,TXN000388,197.32,2026-08-19 21:09:00
SET000389,TXN000389,299.89,2026-08-29 00:27:00
SET000390,TXN000390,192.53,2026-08-02 11:44:00
SET000391,TXN000391,315.27,2026-08-21 04:17:00
SET000392,TXN000392,208.44,2026-08-17 12:08:00
SET000393,TXN000393,58.22,2026-08-25 18:42:00
SET000394,TXN000394,407.24,2026-08-03 18:08:00
SET000395,TXN000395,188.19,2026-08-06 13:25:00
SET000396,TXN000396,427.82,2026-08-05 04:07:00
SET000397,TXN000397,303.3,2026-08-01 23:19:00
SET000398,TXN000398,37.0,2026-08-12 02:02:00
SET000399,TXN000399,445.14,2026-08-10 08:08:00
SET000400,TXN000400,44.85,2026-08-10 10:16:00
SET000401,TXN000401,270.08,2026-08-15 22:52:00
SET000402,TXN000402,351.85,2026-08-01 03:05:00
SET000403,TXN000403,135.61,2026-08-06 21:59:00
SET000404,TXN000404,249.99,2026-08-06 00:04:00
SET000405,TXN000405,302.56,2026-08-06 23:57:00
SET000406,TXN000406,21.46,2026-08-27 19:11:00
SET000408,TXN000408,37.79,2026-08-24 22:37:00
SET000409,TXN000409,57.39,2026-08-22 16:11:00
SET000410,TXN000410,210.0,2026-08-24 08:35:00
SET000411,TXN000411,273.24,2026-08-23 22:19:00
SET000412,TXN000412,111.37,2026-08-02 23:21:00
SET000413,TXN000413,331.35,2026-08-14 17:27:00
SET000414,TXN000414,214.25,2026-08-03 18:26:00
SET000415,TXN000415,449.39,2026-08-20 09:36:00
SET000416,TXN000416,313.45,2026-08-21 04:29:00
SET000417,TXN000417,46.97,2026-08-15 15:49:00
SET000418,TXN000418,279.61,2026-08-06 17:50:00
SET000419,TXN000419,134.63,2026-08-25 22:57:00
SET000420,TXN000420,324.79,2026-08-28 04:30:00
SET000421,TXN000421,245.79,2026-08-24 00:11:00
SET000422,TXN000422,278.36,2026-08-06 04:58:00
SET000423,TXN000423,385.96,2026-08-10 18:51:00
SET000426,TXN000426,195.96,2026-08-15 05:23:00
SET000427,TXN000427,200.64,2026-08-18 00:50:00
SET000428,TXN000428,429.81,2026-08-04 01:19:00
SET000429,TXN000429,54.68,2026-08-05 05:49:00
SET000430,TXN000430,202.87,2026-08-06 22:07:00
SET000431,TXN000431,257.02,2026-08-26 13:24:00
SET000432,TXN000432,259.33,2026-08-19 16:42:00
SET000433,TXN000433,168.82,2026-08-03 08:11:00
SET000434,TXN000434,436.25,2026-08-15 05:16:00
SET000435,TXN000435,167.97,2026-08-24 02:13:00
SET000436,TXN000436,107.54,2026-08-11 04:56:00
SET000437,TXN000437,383.56,2026-08-26 07:35:00
SET000438,TXN000438,174.89,2026-08-27 03:04:00
SET000439,TXN000439,113.38,2026-08-26 12:43:00
SET000440,TXN000440,438.93,2026-08-28 22:11:00
SET000441,TXN000441,308.61,2026-08-02 04:40:00
SET000442,TXN000442,279.91,2026-08-02 07:37:00
SET000443,TXN000443,93.48,2026-08-16 11:10:00
SET000444,TXN000444,167.7,2026-08-07 12:28:00
SET000445,TXN000445,261.35,2026-08-04 04:00:00
SET000446,TXN000446,76.72,2026-08-05 04:13:00
SET000447,TXN000447,339.56,2026-08-18 02:54:00
SET000448,TXN000448,197.63,2026-08-08 03:55:00
SET000449,TXN000449,175.97,2026-08-26 19:57:00
SET000450,TXN000450,274.36,2026-08-08 01:56:00
SET000451,TXN000451,83.47,2026-08-03 06:21:00
SET000452,TXN000452,308.18,2026-08-21 03:59:00
SET000453,TXN000453,302.94,2026-08-28 15:05:00
SET000454,TXN000454,207.29,2026-08-10 19:27:00
SET000455,TXN000455,343.4,2026-08-16 17:01:00
SET000456,TXN000456,202.01,2026-08-27 23:51:00
SET000457,TXN000457,226.69,2026-08-03 01:36:00
SET000458,TXN000458,110.93,2026-08-03 11:50:00
SET000459,TXN000459,8.61,2026-08-10 14:43:00
SET000460,TXN000460,348.8,2026-08-14 04:09:00
SET000461,TXN000461,157.73,2026-08-23 15:16:00
SET000462,TXN000462,339.95,2026-08-06 21:06:00
SET000464,TXN000464,258.04,2026-08-04 06:43:00
SET000465,TXN000465,187.73,2026-08-20 20:28:00
SET000466,TXN000466,23.15,2026-08-15 05:56:00
SET000467,TXN000467,265.46,2026-08-19 09:44:00
SET000468,TXN000468,317.33,2026-08-14 04:13:00
SET000469,TXN000469,65.1,2026-08-15 18:44:00
SET000470,TXN000470,70.1,2026-08-21 22:32:00
SET000471,TXN000471,376.93,2026-08-05 00:15:00
SET000472,TXN000472,204.97,2026-08-12 01:45:00
SET000473,TXN000473,204.52,2026-08-24 20:18:00
SET000474,TXN000474,49.21,2026-08-16 10:50:00
SET000475,TXN000475,111.38,2026-08-04 11:25:00
SET000476,TXN000476,237.06,2026-08-25 03:33:00
SET000477,TXN000477,222.12,2026-08-16 23:29:00
SET000478,TXN000478,331.41,2026-08-11 18:04:00
SET000479,TXN000479,59.72,2026-08-09 23:28:00
SET000480,TXN000480,90.47,2026-08-30 19:59:00
SET000482,TXN000482,343.18,2026-08-21 10:19:00
SET000483,TXN000483,311.29,2026-08-30 06:19:00
SET000484,TXN000484,291.35,2026-08-15 17:01:00
SET000485,TXN000485,390.95,2026-08-07 20:53:00
SET000486,TXN000486,206.3,2026-08-21 03:00:00
SET000487,TXN000487,287.15,2026-08-27 21:59:00
SET000488,TXN000488,25.97,2026-08-04 09:02:00
SET000489,TXN000489,150.03,2026-08-02 17:04:00
SET000490,TXN000490,39.75,2026-08-04 11:48:00
SET000491,TXN000491,295.43,2026-08-28 23:45:00
SET000492,TXN000492,273.42,2026-08-22 01:24:00
SET000493,TXN000493,267.44,2026-08-21 11:13:00
SET000494,TXN000494,410.44,2026-08-30 15:58:00
SET000495,TXN000495,96.88,2026-08-22 15:30:00
SET000496,TXN000496,233.09,2026-08-21 12:05:00
SET000497,TXN000497,60.02,2026-08-04 20:06:00
SET000498,TXN000498,234.48,2026-08-02 18:45:00
SET000500,TXN000500,242.97,2026-08-08 05:23:00
